1	1	0.015625	0.03125
2	1	0.046875	0.03125
3	1	0.078125	0.03125
4	1	0.109375	0.03125
5	1	0.140625	0.03125
6	1	0.171875	0.03125
7	1	0.203125	0.03125
8	1	0.234375	0.03125
9	1	0.265625	0.03125
10	1	0.296875	0.03125
11	1	0.328125	0.03125
12	1	0.359375	0.03125
13	1	0.390625	0.03125
14	1	0.421875	0.03125
15	1	0.453125	0.03125
16	1	0.484375	0.03125
17	1	0.515625	0.03125
18	1	0.546875	0.03125
19	1	0.578125	0.03125
20	1	0.609375	0.03125
21	1	0.640625	0.03125
22	1	0.671875	0.03125
23	1	0.703125	0.03125
24	1	0.734375	0.03125
25	1	0.765625	0.03125
26	1	0.796875	0.03125
27	1	0.828125	0.03125
28	1	0.859375	0.03125
29	1	0.890625	0.03125
30	1	0.921875	0.03125
31	1	0.953125	0.03125
32	1	0.984375	0.03125
1	1	0.015625	0.03125
2	1	0.046875	0.03125
3	1	0.078125	0.03125
4	1	0.109375	0.03125
5	1	0.140625	0.03125
6	1	0.171875	0.03125
7	1	0.203125	0.03125
8	1	0.234375	0.03125
9	1	0.265625	0.03125
10	1	0.296875	0.03125
11	1	0.328125	0.03125
12	1	0.359375	0.03125
13	1	0.390625	0.03125
14	1	0.421875	0.03125
15	1	0.453125	0.03125
16	1	0.484375	0.03125
17	1	0.515625	0.03125
18	1	0.546875	0.03125
19	1	0.578125	0.03125
20	1	0.609375	0.03125
21	1	0.640625	0.03125
22	1	0.671875	0.03125
23	1	0.703125	0.03125
24	1	0.734375	0.03125
25	1	0.765625	0.03125
26	1	0.796875	0.03125
27	1	0.828125	0.03125
28	1	0.859375	0.03125
29	1	0.890625	0.03125
30	1	0.921875	0.03125
31	1	0.953125	0.03125
32	1	0.984375	0.03125
